RECIPE_ID,RECIPE_NM_KO,IRDNT_NM,IRDNT_CPCTY,IRDNT_TY_NM,SCORE
1,나물비빔밥,간장,약간,양념,3
1,나물비빔밥,계란,1개,부재료,1
1,나물비빔밥,고사리,20g,주재료,4
1,나물비빔밥,고추장,1/2큰술,양념,5
1,나물비빔밥,다진마늘,약간,양념,2
1,나물비빔밥,다진파,약간,양념,2
1,나물비빔밥,도라지,20g,부재료,1
1,나물비빔밥,돼지고기,200g,주재료,4
1,나물비빔밥,묵,1/2모,부재료,1
1,나물비빔밥,미나리,20g,주재료,4
1,나물비빔밥,설탕,약간,양념,2
1,나물비빔밥,소금,약간,양념,2
1,나물비빔밥,쇠고기,100g,부재료,1
1,나물비빔밥,숙주,20g,주재료,4
1,나물비빔밥,밥,4컵,주재료,5
1,나물비빔밥,참기름,약간,양념,3
1,나물비빔밥,콩나물,20g,주재료,5
2,오곡밥,멥쌀,1컵,주재료,4
2,오곡밥,소금,약간,양념,3
2,오곡밥,수수,1컵,주재료,4
2,오곡밥,차조,1컵,주재료,4
2,오곡밥,찹쌀,2컵,주재료,5
2,오곡밥,콩,1/2컵,부재료,1
2,오곡밥,팥,1/2컵,부재료,1
3,잡채밥,간장,4큰술,양념,3
3,잡채밥,고추,약간,부재료,1
3,잡채밥,다진마늘,1큰술,양념,3
3,잡채밥,다진파,2큰술,양념,2
3,잡채밥,당근,1/2개,부재료,1
3,잡채밥,당면,50g,주재료,5
3,잡채밥,돼지고기,100g,주재료,4
3,잡채밥,밥,3공기,주재료,5
3,잡채밥,부추,30g,부재료,1
3,잡채밥,소금,약간,양념,3
3,잡채밥,참기름,1큰술,양념,3
3,잡채밥,표고버섯,2장,부재료,1
3,잡채밥,호박,1/4개,부재료,1
3,잡채밥,후춧가루,약간,양념,2
4,콩나물밥,간장,4큰술,양념,3
4,콩나물밥,고춧가루,조금,양념,2
4,콩나물밥,깨소금,1큰술,양념,2
4,콩나물밥,마늘,2쪽,양념,3
4,콩나물밥,소금,약간,양념,3
4,콩나물밥,쇠고기,100g,주재료,4
