,RECIPE_ID,RECIPE_NM_KO,IRDNT_NM,IRDNT_CPCTY,IRDNT_TY_CODE,IRDNT_TY_NM,SCORE
0,1,나물비빔밥,간장,약간,3060003,양념,3
1,1,나물비빔밥,계란,1개,3060001,부재료,1
2,1,나물비빔밥,고사리,20g,3060001,주재료,5
3,1,나물비빔밥,고추장,1/2큰술,3060002,주재료,5
4,1,나물비빔밥,다진마늘,약간,3060003,양념,2
5,1,나물비빔밥,다진파,약간,3060003,양념,2
6,1,나물비빔밥,도라지,20g,3060001,주재료,4
7,1,나물비빔밥,돼지고기,200g,3060001,주재료,4
8,1,나물비빔밥,묵,1/2모,3060001,부재료,1
9,1,나물비빔밥,미나리,20g,3060001,주재료,4
10,1,나물비빔밥,설탕,약간,3060003,양념,2
11,1,나물비빔밥,소금,약간,3060003,양념,2
12,1,나물비빔밥,쇠고기,100g,3060002,부재료,1
13,1,나물비빔밥,숙주,20g,3060001,주재료,5
14,1,나물비빔밥,쌀,4컵,3060001,주재료,5
15,1,나물비빔밥,참기름,약간,3060003,양념,3
16,1,나물비빔밥,콩나물,20g,3060001,주재료,5
17,2,오곡밥,멥쌀,1컵,3060001,주재료,5
18,2,오곡밥,소금,약간,3060003,양념,3
19,2,오곡밥,수수,1컵,3060002,주재료,5
20,2,오곡밥,차조,1컵,3060002,주재료,5
21,2,오곡밥,찹쌀,2컵,3060001,주재료,5
22,2,오곡밥,콩,1/2컵,3060002,부재료,1
23,2,오곡밥,팥,1/2컵,3060002,부재료,1
24,3,잡채밥,간장,4큰술,3060003,양념,3
25,3,잡채밥,고추,약간,3060002,부재료,1
27,3,잡채밥,다진마늘,1큰술,3060003,양념,3
28,3,잡채밥,다진파,2큰술,3060003,양념,2
29,3,잡채밥,당근,1/2개,3060002,부재료,1
30,3,잡채밥,당면,50g,3060001,주재료,5
31,3,잡채밥,돼지고기,100g,3060001,주재료,4
32,3,잡채밥,밥,3공기,3060002,주재료,5
33,3,잡채밥,부추,30g,3060001,부재료,1
34,3,잡채밥,소금,약간,3060003,양념,3
35,3,잡채밥,참기름,1큰술,3060003,양념,3
36,3,잡채밥,표고버섯,2장,3060001,부재료,1
37,3,잡채밥,호박,1/4개,3060002,부재료,1
38,3,잡채밥,후춧가루,약간,3060003,양념,2
39,4,콩나물밥,간장,4큰술,3060003,양념,3
40,4,콩나물밥,고춧가루,조금,3060003,양념,2
41,4,콩나물밥,깨소금,1큰술,3060003,양념,2
42,4,콩나물밥,마늘,2쪽,3060003,양념,3
43,4,콩나물밥,소금,약간,3060003,양념,3
44,4,콩나물밥,쇠고기,100g,3060001,주재료,4
45,4,콩나물밥,쌀,2컵,3060001,주재료,5
46,4,콩나물밥,참기름,1큰술,3060003,양념,3
47,4,콩나물밥,콩나물,300g,3060001,주재료,5
48,4,콩나물밥,파,1/2개,3060003,부재료,1
49,4,콩나물밥,후춧가루,약간,3060003,양념,2
