,Similar_Recipe_ID,TF-IDF Value,Recipe_ID
0,나물비빔밥,0.99999994,나물비빔밥
1,사색나물,0.34513512,나물비빔밥
2,상추겉절이비빔밥,0.31684777,나물비빔밥
3,콩나물미나리무침,0.29276416,나물비빔밥
4,돌솥비빔밥,0.28446198,나물비빔밥
5,숙주미나리무침,0.28113788,나물비빔밥
6,콩나물잡채,0.24380259,나물비빔밥
7,묵과양념장,0.22742234,나물비빔밥
8,닭개장,0.22035053,나물비빔밥
9,초교탕,0.21499875,나물비빔밥
10,오징어도라지생채,0.21172003,나물비빔밥
11,오곡주먹밥,0.5432728,오곡밥
12,팥시루떡,0.5385645,오곡밥
13,인절미,0.49756753,오곡밥
14,찰밥주먹밥,0.3727797,오곡밥
15,찰밥,0.3464791,오곡밥
16,콩자반,0.33621162,오곡밥
17,시금치배미음죽,0.3299402,오곡밥
18,시금치표고된장무른밥,0.2989048,오곡밥
19,호박죽,0.29854515,오곡밥
20,동지팥죽,0.29110348,오곡밥
21,잡채밥,0.99999994,잡채밥
22,제육배추찜,0.39316636,잡채밥
23,중국식볶음밥,0.38880104,잡채밥
24,부추표고버섯볶음,0.3774631,잡채밥
25,부추잡채,0.369669,잡채밥
26,부추전,0.3563172,잡채밥
27,물만두,0.3422177,잡채밥
28,오이소박이,0.31717536,잡채밥
29,버섯잡채밥,0.3031639,잡채밥
30,제육겨자쌈,0.29023507,잡채밥
31,콩나물밥,0.28489417,잡채밥
32,두부국,0.4897635,콩나물밥
33,깻잎장아찌,0.42762533,콩나물밥
34,쌈장,0.39757273,콩나물밥
35,콩나물잡채,0.38465762,콩나물밥
36,닭고기콩나물덮밥,0.37704128,콩나물밥
37,아귀찜,0.36694667,콩나물밥
38,콩나물무밥,0.3646566,콩나물밥
39,콩나물미나리무침,0.35599694,콩나물밥
40,도가니탕,0.3494939,콩나물밥
41,새우죽,0.34795335,콩나물밥
42,양파쌈파이,0.2852368,약식
43,영양돌솥밥,0.26905674,약식
44,잣죽,0.25572783,약식
45,찰밥,0.24909338,약식
46,삼계탕,0.20922498,약식
47,오이동치미,0.19453788,약식
48,송편,0.18024822,약식
49,화전,0.17744862,약식
50,찰밥주먹밥,0.17406942,약식
51,인절미,0.16700993,약식
52,팥시루떡,0.50686365,호박죽
53,찰밥,0.47934765,호박죽
54,동지팥죽,0.4218089,호박죽
55,찰밥주먹밥,0.33497384,호박죽
56,오곡밥,0.29854515,호박죽
57,팥국수,0.2944533,호박죽
58,팥칼국수,0.28627676,호박죽
59,인절미,0.27622938,호박죽
60,오곡주먹밥,0.27183923,호박죽
61,단팥죽,0.26142448,호박죽
62,새우죽,0.43574846,흑임자죽
63,녹두죽,0.35775822,흑임자죽
64,모듬쌈밥,0.3199088,흑임자죽
65,전복죽,0.25850713,흑임자죽
66,동지팥죽,0.24432406,흑임자죽
67,콩나물밥,0.23011127,흑임자죽
68,채소영양밥,0.20433097,흑임자죽
69,콩나물무밥,0.19665186,흑임자죽
70,오색주먹밥도시락,0.1916872,흑임자죽
71,영양채소밥,0.18602069,흑임자죽
72,카레토마토달걀볶음밥,0.33434853,카레라이스
