,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
370,370,간장,다진마늘,0.9899939894676208
70,70,다진마늘,간장,0.9899939894676208
371,371,간장,설탕,0.9897170066833496
110,110,설탕,간장,0.9897170066833496
71,71,다진마늘,설탕,0.9896528720855712
111,111,설탕,다진마늘,0.9896528124809264
470,470,후춧가루,간장,0.9890903234481812
372,372,간장,후춧가루,0.9890903234481812
130,130,소금,다진마늘,0.9889545440673828
72,72,다진마늘,소금,0.9889545440673828
373,373,간장,소금,0.9882843494415284
131,131,소금,간장,0.9882843494415284
471,471,후춧가루,다진마늘,0.9881067872047424
73,73,다진마늘,후춧가루,0.9881067276000975
220,220,홍고추,다진마늘,0.9875850677490234
74,74,다진마늘,홍고추,0.9875850081443788
221,221,홍고추,설탕,0.9875085353851318
112,112,설탕,홍고추,0.9875083565711976
50,50,참기름,다진마늘,0.9874007105827332
472,472,후춧가루,설탕,0.9872306585311891
113,113,설탕,후춧가루,0.9872304797172546
132,132,소금,설탕,0.9871795773506165
114,114,설탕,소금,0.9871795177459716
473,473,후춧가루,소금,0.9868922233581544
133,133,소금,후춧가루,0.98689204454422
374,374,간장,참기름,0.9865623712539672
51,51,참기름,간장,0.9865623116493224
222,222,홍고추,간장,0.9863743185997008
310,310,고춧가루,다진마늘,0.9862635135650636
134,134,소금,참기름,0.9862278699874878
52,52,참기름,소금,0.986227810382843
590,590,대파,간장,0.9856220483779908
311,311,고춧가루,간장,0.9854923486709596
591,591,대파,다진마늘,0.9854704737663268
474,474,후춧가루,홍고추,0.98542720079422
223,223,홍고추,후춧가루,0.9854271411895752
53,53,참기름,후춧가루,0.9850687980651855
312,312,고춧가루,소금,0.9848516583442688
313,313,고춧가루,설탕,0.9845386743545532
54,54,참기름,설탕,0.9844619035720824
500,500,실파,소금,0.9843943119049072
592,592,대파,소금,0.9842457175254822
224,224,홍고추,소금,0.9842423796653748
593,593,대파,후춧가루,0.9839969873428344
300,300,깨소금,다진마늘,0.9838554263114928
301,301,깨소금,설탕,0.983750581741333
302,302,깨소금,간장,0.98373544216156
730,730,무,다진마늘,0.9836241006851196
501,501,실파,다진마늘,0.9835878610610962
502,502,실파,설탕,0.983488917350769
314,314,고춧가루,홍고추,0.9833996295928956
303,303,깨소금,홍고추,0.9833664298057556
594,594,대파,설탕,0.9833166003227234
910,910,생강,다진마늘,0.9832198619842528
430,430,양파,간장,0.9832022190093994
503,503,실파,간장,0.9830461144447328
540,540,식초,간장,0.982981264591217
504,504,실파,참기름,0.9827862381935121
911,911,생강,간장,0.9827356338500975
40,40,고추장,간장,0.9826233386993408
41,41,고추장,다진마늘,0.9826222658157348
541,541,식초,다진마늘,0.9824488162994384
240,240,표고버섯,간장,0.98244047164917
304,304,깨소금,참기름,0.9821531772613524
241,241,표고버섯,설탕,0.9820988178253174
210,210,밥,간장,0.9819680452346802
340,340,물,다진마늘,0.9818367958068848
731,731,무,간장,0.9818252325057985
542,542,식초,후춧가루,0.9816042184829712
330,330,마늘,다진마늘,0.9815431833267212
242,242,표고버섯,다진마늘,0.9814232587814332
912,912,생강,설탕,0.9814047813415528
543,543,식초,소금,0.9813735485076904
211,211,밥,다진마늘,0.9813406467437744
431,431,양파,다진마늘,0.9813088178634644
270,270,청고추,간장,0.9812998771667479
390,390,식용유,다진마늘,0.9812533855438232
42,42,고추장,후춧가루,0.9812204837799072
600,600,깻잎,다진마늘,0.9809753894805908
732,732,무,설탕,0.9809641838073729
733,733,무,소금,0.980843186378479
391,391,식용유,간장,0.9808409214019777
734,734,무,후춧가루,0.980790913105011
392,392,식용유,설탕,0.98063862323761
43,43,고추장,설탕,0.9806230068206788
432,432,양파,설탕,0.9804452061653136
913,913,생강,소금,0.9804052114486694
601,601,깻잎,설탕,0.9803903102874756
180,180,당근,소금,0.9803183674812316
212,212,밥,후춧가루,0.9802988171577454
393,393,식용유,후춧가루,0.9802485108375548
181,181,당근,설탕,0.9802400469779968
182,182,당근,후춧가루,0.9800252914428712
433,433,양파,소금,0.9799924492836
544,544,식초,설탕,0.9797965288162231
243,243,표고버섯,소금,0.9796366691589355
183,183,당근,다진마늘,0.9794883728027344
602,602,깻잎,간장,0.9792838096618652
244,244,표고버섯,고춧가루,0.979232668876648
271,271,청고추,다진마늘,0.9790874123573304
434,434,양파,고춧가루,0.9790797829627992
90,90,미나리,다진마늘,0.9790417551994324
394,394,식용유,소금,0.9790003299713136
184,184,당근,간장,0.9789674282073976
44,44,고추장,참기름,0.9788821935653688
341,341,물,간장,0.9788213968276978
914,914,생강,후춧가루,0.9785480499267578
331,331,마늘,소금,0.978302001953125
342,342,물,참기름,0.9781934022903442
272,272,청고추,설탕,0.9781687259674072
603,603,깻잎,소금,0.9780771136283876
332,332,마늘,설탕,0.9779670238494872
213,213,밥,참기름,0.9778930544853209
450,450,오이,설탕,0.9778113365173341
604,604,깻잎,후춧가루,0.9778038859367372
333,333,마늘,간장,0.97776997089386
214,214,밥,고춧가루,0.9777222275733948
451,451,오이,후춧가루,0.9775501489639282
460,460,다시마,간장,0.9774826765060424
273,273,청고추,후춧가루,0.9774008989334106
343,343,물,소금,0.9773250818252563
10,10,계란,다진마늘,0.9773077964782716
334,334,마늘,무,0.9773010015487672
274,274,청고추,소금,0.9770512580871582
344,344,물,설탕,0.9770086407661438
91,91,미나리,소금,0.9768491387367249
