Index,IRDNT_NM
1,간장
2,계란
3,고사리
4,고추장
5,다진마늘
6,다진파
7,도라지
8,돼지고기
9,묵
10,미나리
11,설탕
12,소금
13,쇠고기
14,숙주
15,쌀
16,참기름
17,콩나물
18,멥쌀
19,수수
20,차조
21,찹쌀
22,콩
23,팥
24,고추
25,당근
26,당면
27,밥
28,부추
29,표고버섯
30,호박
31,후춧가루
32,고춧가루
33,깨소금
34,마늘
35,파
36,계피
37,대추
38,물엿
39,밤
40,식용유
41,잣
42,흑임자
43,감자
44,양파
45,완두콩
46,우유
47,카레가루
48,다시마
49,멸치
50,쌈장
51,오이
52,전분
53,피망
54,밀가루
55,실파
56,애호박
57,양념장
58,냉면
59,동치미국물
60,동치미무
61,배
62,쇠고기육수
63,식초
64,국수
65,겨자
66,다진생강
67,대파
68,열무
69,찹쌀가루
70,깻잎
71,상추
72,계란흰자
73,녹말
74,멸칫국물
75,새우
76,오징어
77,죽순
78,청주
79,홍합
80,김치
81,두부
82,만두피
83,육수
84,모시조개
85,북어
86,무
87,미역
88,생태
89,레몬즙
90,모듬채소
91,방울토마토
92,양송이버섯
93,연어
94,올리브유
95,차이브
96,페스토소스
97,가리비
98,가재새우
99,꼴뚜기
100,루콜라
101,문어
102,샐러리
103,소스
104,쭈꾸미
105,참소라살
106,트레비스
107,재첩
108,계란노른자
109,도미
110,바질
111,스위트마조람
112,오레가노
113,올리브
114,케이퍼
115,화이트와인
116,꼬치
117,꿀
118,느타리버섯
119,배즙
120,생강즙
121,토마토케첩
122,콩가루
123,생강
124,배추
125,연겨자
126,파프리카
127,실고추
128,우엉
129,다진양파
130,토마토
131,갈치
132,닭고기
133,들깨
134,초고추장
135,칼국수
136,무명실
137,양배추
138,파슬리가루
139,목이버섯
140,생선살
141,파인애플
142,양파즙
143,월계수잎
144,통깨
145,레드와인
146,버터
147,빵가루
148,은행
149,갓
150,굴
151,된장
152,새우젓
153,젓국
154,김칫국물
155,청국장
156,바지락
157,순두부
158,동태
159,가래떡
160,유부
161,단무지
162,게맛살
163,해파리
164,멸치젓
165,총각무
166,배주머니
167,꽃게
168,다시다
169,싸리버섯
170,아귀
171,조기
172,명란
173,쑥갓
174,쌀뜨물
175,우거지
176,곤약
177,어묵
178,팽이버섯
179,낙지
180,선지
181,김
182,장조림
183,양
184,도가니
185,밀국수
186,사골
187,쇠뼈
188,까나리액젓
189,석이버섯
190,연근
191,조갯살
192,냉이
193,더덕
194,꽈리고추
195,마른오징어
196,메주콩
197,칵테일새우
198,고추냉이
199,참치
200,꽁치
201,넛맥
202,라면
203,햄
204,와사비
205,치커리
206,쪽파
207,고등어
208,마른고추
209,가지
210,건새우
211,골뱅이
212,소면
213,잣가루
214,베이컨
215,생크림
216,스파게티
217,수삼
218,은박컵
219,후루츠칵테일
220,슬라이스치즈
221,식빵
222,양상추
223,피클
224,마요네즈
225,머스터드
226,컬리플라워
227,딸기
228,사과
229,자몽
230,앤다이브
231,훈제연어
232,레몬드레싱
